EHI_plaintext	sample_code	species	region	sample_type	order	sex	country	latitude	longitude	singlem_fraction	reads_post_fastp	host_reads	reads_lost_fastp_percent	metagenomic_bases	host_bases	bases_lost_fastp_percent	diversity	C
EHI02837	AGN24	Trichosurus vulpecula	Forth, Tasmania	Faecal	Diprotodontia	Male	recKtBknH3LqSreF0	-41.21	146.24	66.55	39459172	1719548	0.048543894393004106	5355976679	233233891	0.10153740304034464	19.8436998736864	0.761917616000373
EHI01191	AIJ24	Cathartes aura	Texas, 3.3 mi SE of Cruz Calle, Howell Cattle Company	Jejunum contents	Accipitriformes	Female	recTM9xQvYOxMLTyY	27.35	-98.24	0.0	17521358	14868095	0.0238303976602271	0	2578457584	0.04230714140488745	11.8030133279783	0.913335517584942
EHI01110	AIH59	Coragyps atratus	Florida, 1.4 mi W of Hasan	Colon contents	Accipitriformes	Female	recTM9xQvYOxMLTyY	29.86	-82.46	27.62	41048108	31033496	0.0674561735315733	1263811225	4434919929	0.13689622326953654	13.7937055340838	0.887616007081258
EHI01093	AIF79	Cathartes aura	Florida, 4.1 mi N of Brooker	Jejunum contents	Accipitriformes	Female	recTM9xQvYOxMLTyY	29.95	-82.32	0.0	38567526	31191808	0.08164952326290253	0	5141736003	0.18378383762350603	11.6764902626959	0.938600938867358
EHI01134	AIJ13	Cathartes aura	Texas, 3.3 mi SE of Cruz Calle, Howell Cattle Company	Jejunum contents	Accipitriformes	Male	recTM9xQvYOxMLTyY	27.35	-98.24	0.0	31017950	26099076	0.06643194094885074	0	4251025539	0.14702687499311518	12.0342339286244	0.915981120270361
EHI01192	AIH42	Cathartes aura	Florida, 1.4 mi W of Hasan	Stomach contents	Accipitriformes	Male	recTM9xQvYOxMLTyY	29.86	-82.46	0.34	19921922	11766631	0.05169144407366233	1120354042	1817923362	0.06756198794533042	18.5111778731232	0.631834419862478
EHI01099	AIG02	Coragyps atratus	Florida, 4.1 mi N of Brooker	Jejunum contents	Accipitriformes	Male	recTM9xQvYOxMLTyY	29.95	-82.32	0.0	35100760	28236386	0.03396202237405599	0	4820743514	0.11549468541081032	11.7642257459099	0.919740881673416
EHI01233	AIF75	Cathartes aura	Florida, 4.1 mi N of Brooker	Stomach contents	Accipitriformes	Female	recTM9xQvYOxMLTyY	29.95	-82.32	78.96	22921262	11426561	0.04734817864413521	1608285951	1757350319	0.06745113695838123	16.9649598792976	0.918635219641856
EHI01145	AIH77	Coragyps atratus	Texas, 7.8 mi N of Alice	Duodenum contents	Accipitriformes	Female	recTM9xQvYOxMLTyY	27.86	-98.05	0.0	23924862	19136036	0.06487275981502316	0	3248576976	0.15350739268761848	11.5707398860638	0.903788755844253
EHI00165	AAW16	Psittacula echo	Bel Ombre, Crackhammer	Faecal	Psittaciformes	Unknown	recxJddnYy3ExEL7a	-20.45	57.42	74.43	20101484	4630986	0.05871243427745776	2183724089	688226117	0.10343899044730775	17.2590582198297	0.944107694076913
