Sample,sample_code,species,region,sample_type,order,sex,country,latitude,longitude,singlem_fraction,reads_post_fastp,host_reads,reads_lost_fastp_percent,metagenomic_bases,host_bases,bases_lost_fastp_percent,diversity,C
EHI01120,AII97E1L1I1,Cathartes aura,"Texas, 3.3 mi SE of Cruz Calle, Howell Cattle Company",Stomach contents,Accipitriformes,Female,United States,27.34788,-98.23905,0.0,30747548,25436446,0.08813737904030360,0,4069727662,0.19537594077127800,11.9099928900634,0.918082341748026
EHI01651,AIG26E1L1I1,Cathartes aura,"Florida, 4.1 mi N of Brooker",Colon contents,Accipitriformes,Female,United States,29.94825,-82.32286,0.8394000000000000,61445490,21557998,0.06110344166218980,5386219171,3085009822,0.13705543494250800,16.9129168543793,0.957269418629915
EHI01800,AIH04E1L1I1,Cathartes aura,"Florida, 4.1 mi N of Brooker",Colon contents,Accipitriformes,Male,United States,29.94825,-82.32286,0.424,47140504,30900768,0.03400994536989160,2170702609,4784269485,0.04987101636504350,15.3671492859646,0.941111070795118
EHI01125,AIJ04E1L1I1,Cathartes aura,"Texas, 3.3 mi SE of Cruz Calle, Howell Cattle Company",Colon contents,Accipitriformes,Female,United States,27.34788,-98.23905,0.0,29237494,23670530,0.10423038032049700,0,3825874713,0.21855994529822200,11.6441478982591,0.913003614201977
EHI01182,AII09E1L1I1,Coragyps atratus,"Texas, 7.8 mi N of Alice",Stomach contents,Accipitriformes,Male,United States,27.86424,-98.05131,0.7058,22167158,14645337,0.021924668395689100,1030494081,2244734042,0.036586818366465000,15.7959914798115,0.871795183846368
EHI01152,AII15E1L1I1,Coragyps atratus,"Texas, 7.8 mi N of Alice",Colon contents,Accipitriformes,Male,United States,27.86424,-98.05131,0.2256,40517656,30418952,0.05100243549534920,1262366627,4322323101,0.12797572324418400,13.6494093205035,0.876757105598177
EHI01654,AIH26E1L1I1,Coragyps atratus,"Florida, 4.1 mi N of Brooker",Colon contents,Accipitriformes,Female,United States,29.94825,-82.32286,0.1309,89882678,69667096,0.0385036781701118,2516531544,10411436487,0.0780430677613706,13.3021729596703,0.939446914505825
EHI01128,AII26E1L1I1,Coragyps atratus,"Texas, 7.8 mi N of Alice",Colon contents,Accipitriformes,Female,United States,27.86424,-98.05131,0.0087,55729130,44636996,0.07008243806999430,1351155668,6082767271,0.17303147145123500,12.2112385987219,0.919105141272968
EHI01653,AIF59E1L1I1,Cathartes aura,"Florida, Lake Butler",Colon contents,Accipitriformes,Male,United States,30.02768,-82.34884,0.4921,55338840,35470412,0.12896987305862800,2435813587,4802463612,0.24046624908390900,15.9238661852928,0.904342449114882
EHI01097,AIG81E1L1I1,Coragyps atratus,"Florida, 4.1 mi N of Brooker",Colon contents,Accipitriformes,Male,United States,29.94825,-82.32286,0.0,24965912,18176998,0.06834497016835010,0,3277774408,0.18455345195837200,11.4365617049974,0.928443621122754
EHI01090,AIF92E1L1I1,Cathartes aura,"Florida, 4.1 mi N of Brooker",Colon contents,Accipitriformes,Female,United States,29.94825,-82.32286,0.7414000000000000,65927922,27367840,0.05980560679274990,5130134555,3891643356,0.14227287909127800,17.3040649400252,0.936881180545043
EHI01220,AIH20E1L1I1,Coragyps atratus,"Florida, 4.1 mi N of Brooker",Stomach contents,Accipitriformes,Female,United States,29.94825,-82.32286,0.0,23010076,18611380,0.033864754948435200,0,3391040421,0.05079158419624620,12.0280588704207,0.913123469508779
